Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval);Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval);Mean expression
Mrpl15;[ 0.96527756  3.7820661  24.27484308];[0.96527756 0.7456611  1.2490367 ];[6.41840795 4.33647298 9.49923446];4.94
Rb1cc1;[ 1.31941251 11.54032104 50.58401156];[1.25344188 0.99181629 1.71795102];[4.64623576 3.07709907 6.81933346];5.19
Fam150a;[  0.26977031  79.1888975  138.15607521];[0.26977031 0.19457101 0.38451524];[1.74463946 1.15489124 2.63955279];0.47
Rrs1;[ 0.77148355  4.17410126 10.22770093];[0.77148355 0.52231194 1.19689312];[2.45027619 1.33742979 4.29128687];1.6
Vcpip1;[0.1924405  1.04339369 4.04271358];[0.1924405  0.08975773 0.34423714];[3.87458118 1.86918521 9.45843633];0.63
Sgk3;[0.18169659 5.49345895 9.14987606];[0.19078142 0.09101942 0.31792441];[1.51569117 0.88004491 3.73417143];0.29
Cops5;[ 1.3508855   4.73240636 44.04631441];[1.3508855  1.09730106 1.68323776];[ 9.30738214  6.5769911  12.81433204];9.78
Arfgef1;[ 0.34149714 22.33045227 76.29770649];[0.32442229 0.2268448  0.43743758];[3.41675599 2.49723497 4.75547963];1.15
Cpa6;[0.07740798 1.21223293 4.31566625];[0.07740798 0.03064636 0.15201343];[3.56009653 1.60286611 9.70969604];0.26
Prex2;[2.09183680e-02 1.82815662e+01 3.60524660e+01];[0.02091837 0.00799647 0.05819466];[1.97206659        nan        nan];0.04
Sulf1;[  0.9460799  117.18818487 181.71036801];[0.9460799  0.7356414  1.22929955];[1.55058608 1.167153   2.05467738];1.46
Ncoa2;[0.13038003 0.54230164 2.3852061 ];[0.006519      nan      nan];[4.39830148        nan        nan];0.46
Tram1;[  2.27566193 242.30485821 397.18169822];[2.27566193 1.83234214 2.8699492 ];[1.63918174 1.28862694 2.06888678];3.7
Lactb2;[ 0.48683295  2.86008798 10.66853696];[0.48683295 0.35675045 0.6960668 ];[3.73014294 2.28763918 5.68871837];1.55
Ube2w;[ 0.92337174 12.03977034 44.08794022];[0.92337174 0.70803022 1.20092076];[3.6618589  2.55967295 5.40322143];3.14
Tceb1;[  2.20275323  37.3322334  198.00319327];[2.20275323 1.72171818 2.58467182];[5.30381323 4.11232576 6.31525582];11.03
Tmem70;[  1.47238598 193.61826934 480.45838429];[1.47238598 1.22328157 1.79117   ];[2.48147236 2.00226692 3.0724172 ];3.63
Pi15;[ 0.3462687   8.39616872 16.00167168];[0.3462687  0.20996672 0.52003042];[1.90583017 1.18928084 3.61987593];0.63
Mcm3;[ 0.25636616  1.93065648 15.81129101];[0.25636616 0.20055357 0.32909674];[ 8.18959311  5.8498451  11.31413862];1.85
Tram2;[0.14678153 4.12099912 4.32905209];[2.77555756e-17            nan            nan];[1.05048605        nan        nan];0.15
Ogfrl1;[ 0.18726788  3.23766568 10.12487206];[0.18726788 0.12065981 0.29029883];[3.12721358 1.80072714 5.37363121];0.55
Smap1;[ 0.38219492  1.02062    10.50456834];[0.38219492 0.25814007 0.5378619 ];[10.29234023  6.36981735 17.72250655];2.86
1110058L19Rik;[ 1.04496725  3.74242547 17.0976909 ];[1.04496725 0.78903601 1.43458083];[4.56861226 2.77193639 6.94837287];3.73
Fam135a;[0.18337629 1.06026879 3.31664023];[0.18337629 0.05276875 0.37140123];[3.12811267        nan        nan];0.49
