Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidene interval);Burst size from Profile Likelihood(point estimate, and confidene interval);Mean expression
Mrpl15;[ 0.54609932  1.6649324  15.15995702];[0.54609932 0.42703341 0.69778132];[ 9.10544899  6.42688831 12.84962689];3.74
Atp6v1h;[  1.60107261 169.11638177 204.96024996];[1.8412335  1.39260819 2.42487141];[1.06651418 0.782405   1.39560635];1.92
Rb1cc1;[6.07456602e-01 2.31264718e+02 8.65978559e+02];[0.6074566  0.50266834 0.73741137];[3.74453383 2.94191463 4.81069443];2.27
Fam150a;[ 0.39790162  5.47708122 25.39626359];[0.39790162 0.302285   0.52801192];[4.63682436 3.14648069 6.76975803];1.72
Rrs1;[  0.69238146 275.85816276 454.98897124];[0.69238146 0.55151695 0.90797687];[1.64935838 1.21960314 2.22856443];1.14
Mybl1;[0.11940553 3.08246847 3.17197595];[0.00597028        nan        nan];[1.0290376       nan       nan];0.12
Vcpip1;[ 0.35385023 42.37872308 62.82652816];[0.35385023 0.24491725 0.52668591];[1.48250168 0.94726493 2.31929936];0.52
Sgk3;[ 0.12595725 29.56820419 52.33645451];[0.12595725 0.08122307 0.2048419 ];[1.71692405 0.9942293  3.1171867 ];0.22
Cops5;[ 1.24765346  5.40875812 46.49316018];[1.24765346 1.016463   1.55427295];[ 8.59590301  6.09877025 11.69612783];8.71
Arfgef1;[0.12783808 0.41150231 3.96356917];[0.12783808 0.06330876 0.2100998 ];[ 9.63194883  5.30939858 21.35530193];0.94
Cpa6;[0.19301401 3.31136122 9.91334539];[0.19301401 0.12455064 0.30520831];[2.99373724 1.71099515 5.13625262];0.55
Prex2;[0.00820038 0.82005358 2.31259579];[0.00041002        nan        nan];[2.82005451        nan        nan];0.02
Sulf1;[  0.90671055 110.42471815 223.50801498];[0.9973816  0.78555142 1.28890914];[1.8419091  1.4467613  2.40994161];1.82
