# named strategies for the simulator/Transcription class (; separated!)
name;k_on;k_off;coord_group;k_syn;k_d;tran_type
# two strategies with the same burst coordination
# frequent_coor;0.02;0.02;1;0.32;0.01;S
# frequent_uncoor;0.02;0.02;;0.16;0.01;S
# frequent_high;0.02;0.02;1;0.8;0.01;S
# large_swing;0.005;0.01;;0.16;0.005;S
# real_bursty_coor;0.005;0.02;2;0.32;0.02;S
# real_bursty_uncoor;0.005;0.02;;0.32;0.02;S
#first_example;0.03;0.01;;2;0.02;S
#second_example;0.024;0.03;1;1;0.02;F
#third_example;0.02;0.02;;2;0.02;S
#bimodal;0.01;0.01;;2;0.02;S
#powerlaw;0.01;0.04;;1;0.02;F
fluc_test;0.0014;0.0014;1;0.1;0.0023;F
fluc;0.003;0.003;1;1;0.01;F
fluc_low;0.003;0.003;1;0.1;0.01;F
fluc_long;0.003;0.003;1;1;0.005;F
fluc2;0.002;0.002;2;1;0.01;F
fluc2_low;0.002;0.002;2;0.1;0.01;F
fluc2_long;0.004;0.004;2;1;0.005;F
stoch;0.003;0.003;;1;0.01;S
stoch_low;0.003;0.003;;0.1;0.01;S
stoch_long;0.003;0.003;;1;0.005;S
