name;k_on;k_off;coord_group;k_syn;k_d;tran_type
a_189_S_C_2;0.0167;0.0167;11.0;0.1;0.0116;S
a_190_S_C_2;0.0167;0.0167;12.0;1.0;0.0058;S
a_191_S_C_2;0.0167;0.0167;12.0;1.0;0.0116;S
a_192_S_C_2;0.0167;0.0167;13.0;1.0;0.0116;S
a_193_S_C_2;0.0167;0.0167;13.0;1.0;0.0023;S
a_194_S_C_2;0.0167;0.0167;13.0;0.1;0.0231;S
a_195_S_C_2;0.0167;0.0167;13.0;0.1;0.0023;S
a_196_S_C_2;0.0167;0.0167;14.0;0.1;0.0058;S
a_197_S_C_2;0.0167;0.0167;14.0;1.0;0.0039;S
a_198_S_C_2;0.0167;0.0167;14.0;0.1;0.0029;S
a_199_S_C_2;0.0167;0.0167;14.0;0.1;0.0231;S
a_200_S_C_2;0.0167;0.0167;14.0;0.1;0.0058;S
a_201_S_C_2;0.0167;0.0167;14.0;1.0;0.0231;S
a_202_S_C_2;0.0167;0.0167;14.0;0.1;0.0116;S
a_203_S_C_2;0.0167;0.0167;14.0;0.1;0.0058;S
a_204_S_C_2;0.0167;0.0167;15.0;1.0;0.0029;S
a_205_S_C_2;0.0167;0.0167;15.0;0.1;0.0029;S
a_206_S_C_2;0.0167;0.0167;15.0;0.1;0.0116;S
a_207_S_C_2;0.0167;0.0167;15.0;0.1;0.0058;S
a_208_S_C_2;0.0167;0.0167;15.0;1.0;0.0023;S
a_209_S_C_2;0.0167;0.0167;15.0;1.0;0.0116;S
a_210_S_C_2;0.0167;0.0167;15.0;0.1;0.0023;S
a_211_S_C_2;0.0167;0.0167;15.0;1.0;0.0039;S
a_212_S_C_2;0.0167;0.0167;15.0;0.1;0.0231;S
a_213_S_C_2;0.0167;0.0167;15.0;0.1;0.0023;S
a_214_S_C_2;0.0167;0.0167;15.0;0.1;0.0058;S
a_215_S_C_2;0.0167;0.0167;15.0;1.0;0.0029;S
a_216_S_C_2;0.0167;0.0167;15.0;0.1;0.0116;S
a_217_S_C_2;0.0167;0.0167;15.0;1.0;0.0058;S
a_218_S_C_2;0.0167;0.0167;15.0;1.0;0.0023;S
a_219_S_C_2;0.0167;0.0167;15.0;1.0;0.0023;S
a_220_S_C_2;0.0167;0.0167;15.0;0.1;0.0116;S
a_221_S_C_2;0.0167;0.0167;15.0;0.1;0.0039;S
a_222_S_C_2;0.0167;0.0167;15.0;1.0;0.0058;S
a_223_S_C_2;0.0167;0.0167;15.0;0.1;0.0116;S
a_224_S_C_2;0.0167;0.0167;15.0;0.1;0.0023;S
a_225_S_C_2;0.0167;0.0167;15.0;1.0;0.0058;S
a_226_S_C_2;0.0167;0.0167;15.0;0.1;0.0231;S
a_227_S_C_2;0.0167;0.0167;15.0;1.0;0.0029;S
a_228_S_C_2;0.0167;0.0167;15.0;1.0;0.0231;S
a_229_S_C_2;0.0167;0.0167;15.0;1.0;0.0058;S
a_230_S_C_2;0.0167;0.0167;15.0;1.0;0.0023;S
a_231_S_C_2;0.0167;0.0167;15.0;1.0;0.0231;S
a_232_S_C_2;0.0167;0.0167;15.0;1.0;0.0039;S
a_233_S_C_2;0.0167;0.0167;15.0;0.1;0.0023;S
a_234_S_C_2;0.0167;0.0167;15.0;1.0;0.0058;S
a_235_S_C_2;0.0167;0.0167;15.0;0.1;0.0116;S
a_236_S_NC_2;0.0167;0.0167;;1.0;0.0029;S
a_237_S_NC_2;0.0167;0.0167;;1.0;0.0116;S
a_238_S_NC_2;0.0167;0.0167;;0.1;0.0058;S
a_239_S_NC_2;0.0167;0.0167;;0.1;0.0231;S
a_240_S_NC_2;0.0167;0.0167;;1.0;0.0231;S
a_241_S_NC_2;0.0167;0.0167;;1.0;0.0058;S
a_242_S_NC_2;0.0167;0.0167;;1.0;0.0058;S
a_243_S_NC_2;0.0167;0.0167;;0.1;0.0029;S
a_244_S_NC_2;0.0167;0.0167;;0.1;0.0039;S
a_245_S_NC_2;0.0167;0.0167;;1.0;0.0231;S
a_246_S_NC_2;0.0167;0.0167;;0.1;0.0231;S
a_247_S_NC_2;0.0167;0.0167;;0.1;0.0023;S
a_248_S_NC_2;0.0167;0.0167;;0.1;0.0231;S
a_249_S_NC_2;0.0167;0.0167;;1.0;0.0029;S
a_250_S_NC_2;0.0167;0.0167;;1.0;0.0231;S
a_251_S_NC_2;0.0167;0.0167;;1.0;0.0029;S
a_252_S_NC_2;0.0167;0.0167;;1.0;0.0023;S
a_253_S_NC_2;0.0167;0.0167;;0.1;0.0231;S
a_254_S_NC_2;0.0167;0.0167;;1.0;0.0023;S
a_255_S_NC_2;0.0167;0.0167;;1.0;0.0023;S
a_256_S_NC_2;0.0167;0.0167;;0.1;0.0058;S
a_257_S_NC_2;0.0167;0.0167;;1.0;0.0058;S
a_258_S_NC_2;0.0167;0.0167;;1.0;0.0231;S
a_259_S_NC_2;0.0167;0.0167;;0.1;0.0116;S
a_260_S_NC_2;0.0167;0.0167;;0.1;0.0029;S
a_261_S_NC_2;0.0167;0.0167;;1.0;0.0116;S
a_262_S_NC_2;0.0167;0.0167;;0.1;0.0039;S
a_263_S_NC_2;0.0167;0.0167;;1.0;0.0039;S
a_264_S_NC_2;0.0167;0.0167;;0.1;0.0029;S
a_265_S_NC_2;0.0167;0.0167;;1.0;0.0116;S
